zone,house_hold_size,income,total_males,total_females,total_tg,highest_ed_males,highest_ed_females,highest_ed_tg,age_lt_6,age_7_to_14,age_15_to_29,age_30_to_59,age_gt_60,no_males_working,no_of_females_working,primary_occu_males,primary_occu_females,no_youngage_workingmembers,no_middleage_workingmembers,no_oldage_workingmembers,Dwelling_Nature,House_typology,Building level,Floors_above,Road_type,Road_width,Road_material,Category,Duration_stay,Age_house,House_Ownership,Fam_Type,Source_waterSupply,Distance_watersupply_source,Qlty_drinking_water_normal days,Water_Quality_monsoons,Quantity_drinking water_normal days,Quantity_drinking_water_during_flooding,Drinking_water_treatment,Issues_with_drinking_water_solved_by,Toilet_Facility,Dist_community_toilets,Sewage_Disposal_System,Drains_Situation,Drainage_channel_connected_to_city_network,Cleaning_agent,Frequency_of_drain_cleaning,If_naturally_howMuchTime,Electricity_Source,PowerCut_Frequency,Proficiency_digital_services,television,computer_laptop,internet_connectivity,radio,mobile,bi-cycle,motorised,no_assets,Health_Infra_Distance,Dist_to_bank,Garbage_collection_Authority,Garbage_Disposal_System,Garbage_dispsl_during_flood,Frequency_GarbageCollection_Nrml_days,Flood_events_experienced,Depth_water_logging,Water_removal_process,Evacuated_before,Dist_to_evacuated_area,Medical_conditions_during_ waterLogging,Loss_working_days_during_floods,Income_loss_per_day,Experience _with_flood,Financial_loss_due_to floods,income_category
south,5.0,30000.0,2.0,3.0,0.0,Graduate,Graduate,,0.0,0.0,1.0,2.0,2.0,1.0,1.0,Government (state/central/private/retired),Government (state/central/private/retired),1.0,1.0,0.0,Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Bituminous roads,SC,40-60,10-25,Owner,Joint,Municipal Corporation,,Satisfactory,Worsens,Inadequate,Less / No Supply,Chemicals,Individually,Community,1-2 km,Muncipal Connection,Covered,Connected,Residents,Yearly (Before monsoons),6-12 Hours,Municipal Corporation,High,Intermediate,Yes,No,No,No,Yes,No,Yes,No,3-5 km,1-3 km,Residents,Put in pits and burnt,Spills out into flooded roads,Only when drains overflow and residents call,>5 & more,1-1/2 ft,Naturally,No,,Yes,1-3 Days,40-60%,10-25 years,2000-6000,5.0
north,3.0,16000.0,2.0,1.0,0.0,Secondary,Secondary,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Kuccha,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Earthen roads,SC,10-25,,Owner,Joint,Municipal Corporation,,Good,Worsens,Inadequate,Less / No Supply,No Treatment,Individually,Community,<1 km,Muncipal Connection,Absent,Unaware,Residents,Never,<6 Hours,Municipal Corporation,High,Beginner,Yes,No,No,Yes,Yes,Yes,No,No,1-3 km,< 1 km,Residents,Dumped in the water bodies,Spills out into flooded roads,Never,>5 & more,1 ft,Naturally,Yes,> 5 km,Yes,4-6 Days,20-40%,<10 years,2000-6000,6.0
southwest,5.0,22000.0,1.0,4.0,0.0,Secondary,Secondary,,0.0,2.0,1.0,2.0,0.0,1.0,1.0,Retail / Livestock Related,Government (state/central/private/retired),0.0,2.0,0.0,Pucca,Individual House,Raised on Columns,G + 2,Sub-Arterial,30-40 m,Cement roads,SC,25-40,25-40,Tenant,Nuclear,Municipal Corporation,,Good,Remains same,Just Adequate,Remains same,Boiling,City administration,Community,<1 km,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly (Before monsoons),<6 Hours,Municipal Corporation,Slightly Higher,Beginner,Yes,No,Yes,No,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,3,1 ft,Naturally,No,,No,1-3 Days,40-60%,<10 years,2000-6000,6.0
north,2.0,11000.0,1.0,1.0,0.0,Primary,Secondary,,0.0,0.0,0.0,2.0,0.0,1.0,1.0,Informal Job / Hawker,Informal Job / Hawker,0.0,2.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,General,<10,25-40,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,Just Adequate,Less / No Supply,Others,Collectively as a community,Community,1-2 km,Muncipal Connection,Open,Connected,Municipal corporation,Monthly,6-12 Hours,Municipal Corporation,High,No Knowledge,No,No,No,No,Yes,Yes,No,No,<1 km,1-3 km,Municipal corporation,Community Bin,Spills out into flooded roads,Only when drains overflow and residents call,1,> 2 ft,Naturally,No,,Yes,> 7 Days,>80%/almost full,10-25 years,10000-15000,7.0
central,3.0,12000.0,2.0,1.0,0.0,Higher Secondary,Primary,,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Informal Job / Hawker,0,0.0,1.0,0.0,Kuccha,Squatter/Encroachment,Ground level,G only,Local roads,< 3 m,Cement roads,SC,10-25,25-40,Owner,Nuclear,Community Tap,1-2 kms,Poor,Worsens,Just Adequate,Remains same,Boiling,Individually,Community,1-2 km,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,12 Hours - 1 Day,Illegal hooking,High,Beginner,Yes,No,No,No,Yes,Yes,No,No,1-3 km,Not Available,None,Dumped in the water bodies,Same as normal days,Only when drains overflow and residents call,2,6 inch or below,Manually,No,,Yes,1-3 Days,40-60%,<10 years,<2000,7.0
central,5.0,12000.0,3.0,2.0,0.0,Higher Secondary,Graduate,,2.0,0.0,1.0,1.0,1.0,1.0,0.0,Informal Job / Hawker,0,0.0,0.0,1.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,OBC,25-40,40-60,Owner,Multi-family,Municipal Corporation,,Good,Worsens,Just Adequate,Less / No Supply,Boiling,Individually,Community,1-2 km,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours,Municipal Corporation,Slightly Higher,No Knowledge,Yes,No,No,No,Yes,Yes,No,No,1-3 km,Not Available,Municipal corporation,Door-to-Door,Same as normal days,Only when drains overflow and residents call,3,1 ft,Manually,No,,Yes,4-6 Days,>80%/almost full,10-25 years,2000-6000,7.0
central,5.0,12000.0,2.0,3.0,0.0,Secondary,Higher Secondary,,1.0,0.0,1.0,2.0,1.0,1.0,0.0,Administrative / Clerks,0,0.0,1.0,0.0,Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,OBC,25-40,25-40,Owner,Joint,Community Tap,< 1 km,Poor,Worsens,Just Adequate,Less / No Supply,No Treatment,City administration,Community,1-2 km,Muncipal Connection,Covered,Connected,Residents,Only when drains overflow,12 Hours - 1 Day,Illegal hooking,High,Beginner,Yes,No,No,No,Yes,Yes,No,No,1-3 km,Not Available,None,Roadside dumping and no cleaning,Remains dumped- no pick up,Only when drains overflow and residents call,4,> 2 ft,Manually,No,,Yes,4-6 Days,40-60%,25-40 years,<2000,7.0
south,7.0,13000.0,0.0,0.0,7.0,Illiterate,Illiterate,Primary,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0,0,5.0,2.0,0.0,Semi-Pucca,Squatter/Encroachment,Ground level,G only,Sub-Arterial,30-40 m,Earthen roads,General,40-60,25-40,Owner,Multi-family,Municipal Corporation,,Satisfactory,Remains same,Ample,Remains same,Filter,Individually,Community,<1 km,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,Yes,Yes,Yes,No,No,No,Not Available,Not Available,Municipal corporation,Community Bin,Remains dumped- no pick up,Fortnightly,Every monsoon,> 2 ft,Manually,No,,Yes,1-3 Days,40-60%,<10 years,<2000,7.0
southwest,5.0,8000.0,2.0,3.0,0.0,Primary,Secondary,,0.0,2.0,1.0,2.0,0.0,1.0,1.0,Retail / Livestock Related,Business / Trade Industry,0.0,2.0,0.0,Pucca,Squatter/Encroachment,Raised on Columns,G + 2,Sub-Arterial,30-40 m,Cement roads,General,<10,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,Ample,Remains same,Boiling,,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,No Knowledge,Yes,Yes,Yes,No,Yes,Yes,No,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,>5 & more,> 2 ft,Naturally,No,,Yes,1-3 Days,Negligible/<20%,10-25 years,<2000,7.0
south,5.0,39000.0,2.0,3.0,0.0,Secondary,Higher Secondary,,1.0,1.0,0.0,2.0,1.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Local roads,5-10 m,Cement roads,SC,25-40,40-60,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,Just Adequate,Remains same,Boiling,,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Weekly,<6 Hours,Municipal Corporation,Unchanged,No Knowledge,Yes,Yes,Yes,No,Yes,Yes,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Same as normal days,Daily,>5 & more,1-1/2 ft,Manually,No,,Yes,1-3 Days,Negligible/<20%,10-25 years,<2000,4.0
